sender,subject,body,label
no-reply@amazon.com,Professional Network Updates,Here's the summary from today's stand-up meeting.,0
hr@company.com,Order Shipped,Here's the summary from today's stand-up meeting.,0
hr@company.com,Professional Network Updates,Read today's top stories curated for you.,0
support@apple.com,Verify Your Account,You've won a $100 gift card. Click to claim.,1
reward@giftcard.com,Action Required Immediately,Unpaid invoice detected. Login here to pay.,1
it-support@company-update.com,Action Required Immediately,We noticed unusual activity. Sign in to secure your account.,1
security@amaz0n.com,Verify Your Account,Security alert: Someone tried to access your account from a new device.,1
admin@bank-secure.com,Verify Your Account,Unusual login detected. Verify your account now.,1
security@amaz0n.com,Verify Your Account,Please confirm your recent login to secure your account.,1
team@slack.com,Order Shipped,You have received $250 from Alice.,0
support@apple.com,Account Locked!,You've won a $100 gift card. Click to claim.,1
updates@medium.com,Subscription Update,Check out new commits and PRs in your repositories.,0
hr@company.com,Weekend Plans,Read today's top stories curated for you.,0
support@apple.com,Verify Apple ID,Security alert: Someone tried to access your account from a new device.,1
admin@bank-secure.com,Suspicious Activity Detected,We noticed unusual activity. Sign in to secure your account.,1
receipt@paypal.com,Weekly Repo Updates,Please review the updated company leave policy.,0
receipt@paypal.com,Professional Network Updates,You have received $250 from Alice.,0
support@apple.com,Unauthorized Login Attempt,We noticed unusual activity. Sign in to secure your account.,1
login@netflix-security.com,Invoice Overdue,Your account will be deactivated if you do not respond.,1
friend@gmail.com,Policy Update,Please review the updated company leave policy.,0
security-alert@paypal.com,Account Locked!,Security alert: Someone tried to access your account from a new device.,1
friend@gmail.com,Subscription Update,Check out new commits and PRs in your repositories.,0
updates@medium.com,Weekly Repo Updates,"Hey, are we meeting this weekend for lunch?",0
it-support@company-update.com,Unauthorized Login Attempt,We noticed unusual activity. Sign in to secure your account.,1
verify@facebook-alert.com,Verify Your Account,Security alert: Someone tried to access your account from a new device.,1
admin@bank-secure.com,Urgent: Password Expiry,You've won a $100 gift card. Click to claim.,1
billing@paypal-security.com,Urgent: Password Expiry,Security alert: Someone tried to access your account from a new device.,1
security-alert@paypal.com,Claim Your Gift Card!,Please confirm your recent login to secure your account.,1
updates@medium.com,Subscription Update,Someone has endorsed your skills on LinkedIn.,0
hr@company.com,Professional Network Updates,Here's the summary from today's stand-up meeting.,0
alerts@linkedin.com,Team Meeting Notes,Your order #12345 has been shipped. Track it here.,0
service@netflix.com,Professional Network Updates,Your next subscription payment is due on 30th Sep.,0
verify@facebook-alert.com,Urgent: Password Expiry,We noticed unusual activity. Sign in to secure your account.,1
receipt@paypal.com,Order Shipped,Check out new commits and PRs in your repositories.,0
support@apple.com,Account Locked!,You've won a $100 gift card. Click to claim.,1
alerts@linkedin.com,Team Meeting Notes,Please review the updated company leave policy.,0
alerts@linkedin.com,Weekend Plans,You have received $250 from Alice.,0
admin@bank-secure.com,Invoice Overdue,You've won a $100 gift card. Click to claim.,1
no-reply@amazon.com,Order Shipped,Please review the updated company leave policy.,0
security@amaz0n.com,Unauthorized Login Attempt,Your account will be deactivated if you do not respond.,1
updates@medium.com,Weekend Plans,"Hey, are we meeting this weekend for lunch?",0
it-support@company-update.com,Urgent: Password Expiry,Unpaid invoice detected. Login here to pay.,1
updates@medium.com,Top Stories for You,You have received $250 from Alice.,0
team@slack.com,Policy Update,Here's the summary from today's stand-up meeting.,0
login@netflix-security.com,Verify Your Account,Your account has been locked. Click here to verify credentials.,1
alerts@linkedin.com,Professional Network Updates,You have received $250 from Alice.,0
friend@gmail.com,Team Meeting Notes,Check out new commits and PRs in your repositories.,0
billing@paypal-security.com,Account Locked!,Please confirm your recent login to secure your account.,1
service@netflix.com,Professional Network Updates,Your next subscription payment is due on 30th Sep.,0
reward@giftcard.com,Account Locked!,Your password will expire soon. Reset it immediately.,1
alerts@linkedin.com,Policy Update,Your order #12345 has been shipped. Track it here.,0
no-reply@amazon.com,Policy Update,Please review the updated company leave policy.,0
hr@company.com,Professional Network Updates,Check out new commits and PRs in your repositories.,0
alerts@linkedin.com,Weekly Repo Updates,Read today's top stories curated for you.,0
no-reply@amazon.com,Payment Received,Your next subscription payment is due on 30th Sep.,0
billing@paypal-security.com,Action Required Immediately,Unpaid invoice detected. Login here to pay.,1
it-support@company-update.com,Unauthorized Login Attempt,Your password will expire soon. Reset it immediately.,1
team@slack.com,Weekly Repo Updates,You have received $250 from Alice.,0
team@slack.com,Professional Network Updates,Your next subscription payment is due on 30th Sep.,0
receipt@paypal.com,Weekend Plans,"Hey, are we meeting this weekend for lunch?",0
login@netflix-security.com,Verify Apple ID,Unusual login detected. Verify your account now.,1
security-alert@paypal.com,Urgent: Password Expiry,Your account has been locked. Click here to verify credentials.,1
support@apple.com,Urgent: Password Expiry,Security alert: Someone tried to access your account from a new device.,1
security@amaz0n.com,Verify Your Account,Your account has been locked. Click here to verify credentials.,1
security-alert@paypal.com,Action Required Immediately,Your account will be deactivated if you do not respond.,1
login@netflix-security.com,Urgent: Password Expiry,Unpaid invoice detected. Login here to pay.,1
receipt@paypal.com,Professional Network Updates,Your order #12345 has been shipped. Track it here.,0
service@netflix.com,Professional Network Updates,Here's the summary from today's stand-up meeting.,0
security@amaz0n.com,Unauthorized Login Attempt,Your account will be deactivated if you do not respond.,1
updates@medium.com,Professional Network Updates,Please review the updated company leave policy.,0
receipt@paypal.com,Weekend Plans,Your next subscription payment is due on 30th Sep.,0
security@amaz0n.com,Account Locked!,Your account has been locked. Click here to verify credentials.,1
receipt@paypal.com,Order Shipped,Someone has endorsed your skills on LinkedIn.,0
newsletter@github.com,Payment Received,Please review the updated company leave policy.,0
reward@giftcard.com,Action Required Immediately,Unusual login detected. Verify your account now.,1
friend@gmail.com,Subscription Update,Please review the updated company leave policy.,0
hr@company.com,Subscription Update,Check out new commits and PRs in your repositories.,0
support@apple.com,Unauthorized Login Attempt,Security alert: Someone tried to access your account from a new device.,1
reward@giftcard.com,Account Locked!,Your account has been locked. Click here to verify credentials.,1
receipt@paypal.com,Policy Update,Please review the updated company leave policy.,0
updates@medium.com,Top Stories for You,You have received $250 from Alice.,0
hr@company.com,Professional Network Updates,"Hey, are we meeting this weekend for lunch?",0
security@amaz0n.com,Suspicious Activity Detected,Your account has been locked. Click here to verify credentials.,1
security-alert@paypal.com,Unauthorized Login Attempt,We noticed unusual activity. Sign in to secure your account.,1
hr@company.com,Policy Update,Your order #12345 has been shipped. Track it here.,0
updates@medium.com,Weekly Repo Updates,Please review the updated company leave policy.,0
friend@gmail.com,Weekend Plans,"Hey, are we meeting this weekend for lunch?",0
billing@paypal-security.com,Account Locked!,Please confirm your recent login to secure your account.,1
admin@bank-secure.com,Action Required Immediately,Security alert: Someone tried to access your account from a new device.,1
verify@facebook-alert.com,Verify Your Account,Please confirm your recent login to secure your account.,1
reward@giftcard.com,Urgent: Password Expiry,Your account has been locked. Click here to verify credentials.,1
security-alert@paypal.com,Account Locked!,You've won a $100 gift card. Click to claim.,1
friend@gmail.com,Professional Network Updates,Check out new commits and PRs in your repositories.,0
login@netflix-security.com,Unauthorized Login Attempt,Your account has been locked. Click here to verify credentials.,1
security@amaz0n.com,Invoice Overdue,Unpaid invoice detected. Login here to pay.,1
hr@company.com,Team Meeting Notes,Here's the summary from today's stand-up meeting.,0
newsletter@github.com,Weekly Repo Updates,Your next subscription payment is due on 30th Sep.,0
billing@paypal-security.com,Unauthorized Login Attempt,Your account will be deactivated if you do not respond.,1
updates@medium.com,Weekly Repo Updates,Someone has endorsed your skills on LinkedIn.,0
support@apple.com,Action Required Immediately,Please confirm your recent login to secure your account.,1
receipt@paypal.com,Team Meeting Notes,Read today's top stories curated for you.,0
hr@company.com,Payment Received,Your order #12345 has been shipped. Track it here.,0
hr@company.com,Top Stories for You,"Hey, are we meeting this weekend for lunch?",0
updates@medium.com,Order Shipped,Someone has endorsed your skills on LinkedIn.,0
login@netflix-security.com,Invoice Overdue,Your account has been locked. Click here to verify credentials.,1
verify@facebook-alert.com,Unauthorized Login Attempt,Your password will expire soon. Reset it immediately.,1
alerts@linkedin.com,Order Shipped,Someone has endorsed your skills on LinkedIn.,0
friend@gmail.com,Subscription Update,Check out new commits and PRs in your repositories.,0
security@amaz0n.com,Verify Your Account,Your account has been locked. Click here to verify credentials.,1
receipt@paypal.com,Weekend Plans,Read today's top stories curated for you.,0
admin@bank-secure.com,Urgent: Password Expiry,Security alert: Someone tried to access your account from a new device.,1
no-reply@amazon.com,Weekly Repo Updates,Your next subscription payment is due on 30th Sep.,0
team@slack.com,Professional Network Updates,You have received $250 from Alice.,0
friend@gmail.com,Professional Network Updates,Read today's top stories curated for you.,0
updates@medium.com,Payment Received,Your order #12345 has been shipped. Track it here.,0
admin@bank-secure.com,Account Locked!,Please confirm your recent login to secure your account.,1
admin@bank-secure.com,Action Required Immediately,Please confirm your recent login to secure your account.,1
reward@giftcard.com,Account Locked!,Please confirm your recent login to secure your account.,1
team@slack.com,Team Meeting Notes,Please review the updated company leave policy.,0
it-support@company-update.com,Unauthorized Login Attempt,Your account will be deactivated if you do not respond.,1
login@netflix-security.com,Suspicious Activity Detected,Your password will expire soon. Reset it immediately.,1
support@apple.com,Verify Your Account,Your account has been locked. Click here to verify credentials.,1
no-reply@amazon.com,Order Shipped,Check out new commits and PRs in your repositories.,0
verify@facebook-alert.com,Invoice Overdue,Security alert: Someone tried to access your account from a new device.,1
it-support@company-update.com,Account Locked!,Your password will expire soon. Reset it immediately.,1
security-alert@paypal.com,Claim Your Gift Card!,Please confirm your recent login to secure your account.,1
verify@facebook-alert.com,Urgent: Password Expiry,We noticed unusual activity. Sign in to secure your account.,1
newsletter@github.com,Weekly Repo Updates,Check out new commits and PRs in your repositories.,0
team@slack.com,Professional Network Updates,Please review the updated company leave policy.,0
alerts@linkedin.com,Policy Update,Please review the updated company leave policy.,0
updates@medium.com,Team Meeting Notes,Please review the updated company leave policy.,0
admin@bank-secure.com,Suspicious Activity Detected,Your account has been locked. Click here to verify credentials.,1
login@netflix-security.com,Action Required Immediately,Your password will expire soon. Reset it immediately.,1
reward@giftcard.com,Unauthorized Login Attempt,Unpaid invoice detected. Login here to pay.,1
receipt@paypal.com,Weekend Plans,"Hey, are we meeting this weekend for lunch?",0
no-reply@amazon.com,Payment Received,Your next subscription payment is due on 30th Sep.,0
friend@gmail.com,Weekend Plans,Check out new commits and PRs in your repositories.,0
billing@paypal-security.com,Invoice Overdue,Security alert: Someone tried to access your account from a new device.,1
newsletter@github.com,Subscription Update,Your next subscription payment is due on 30th Sep.,0
verify@facebook-alert.com,Invoice Overdue,Please confirm your recent login to secure your account.,1
login@netflix-security.com,Verify Apple ID,Your account will be deactivated if you do not respond.,1
security-alert@paypal.com,Account Locked!,We noticed unusual activity. Sign in to secure your account.,1
it-support@company-update.com,Claim Your Gift Card!,Your password will expire soon. Reset it immediately.,1
login@netflix-security.com,Verify Apple ID,Unpaid invoice detected. Login here to pay.,1
team@slack.com,Subscription Update,Your next subscription payment is due on 30th Sep.,0
billing@paypal-security.com,Claim Your Gift Card!,Please confirm your recent login to secure your account.,1
admin@bank-secure.com,Urgent: Password Expiry,Security alert: Someone tried to access your account from a new device.,1
newsletter@github.com,Weekly Repo Updates,Check out new commits and PRs in your repositories.,0
reward@giftcard.com,Unauthorized Login Attempt,We noticed unusual activity. Sign in to secure your account.,1
reward@giftcard.com,Unauthorized Login Attempt,Unpaid invoice detected. Login here to pay.,1
updates@medium.com,Team Meeting Notes,Your next subscription payment is due on 30th Sep.,0
it-support@company-update.com,Unauthorized Login Attempt,Unusual login detected. Verify your account now.,1
support@apple.com,Verify Your Account,Your account will be deactivated if you do not respond.,1
security@amaz0n.com,Suspicious Activity Detected,Your account will be deactivated if you do not respond.,1
receipt@paypal.com,Payment Received,"Hey, are we meeting this weekend for lunch?",0
support@apple.com,Suspicious Activity Detected,Your account has been locked. Click here to verify credentials.,1
no-reply@amazon.com,Top Stories for You,Check out new commits and PRs in your repositories.,0
login@netflix-security.com,Verify Apple ID,Unpaid invoice detected. Login here to pay.,1
team@slack.com,Subscription Update,You have received $250 from Alice.,0
no-reply@amazon.com,Weekend Plans,Your order #12345 has been shipped. Track it here.,0
friend@gmail.com,Professional Network Updates,Please review the updated company leave policy.,0
no-reply@amazon.com,Payment Received,Someone has endorsed your skills on LinkedIn.,0
it-support@company-update.com,Invoice Overdue,Unusual login detected. Verify your account now.,1
admin@bank-secure.com,Unauthorized Login Attempt,We noticed unusual activity. Sign in to secure your account.,1
hr@company.com,Weekly Repo Updates,Someone has endorsed your skills on LinkedIn.,0
alerts@linkedin.com,Weekend Plans,Someone has endorsed your skills on LinkedIn.,0
hr@company.com,Top Stories for You,Here's the summary from today's stand-up meeting.,0
receipt@paypal.com,Subscription Update,Please review the updated company leave policy.,0
login@netflix-security.com,Verify Your Account,Your password will expire soon. Reset it immediately.,1
it-support@company-update.com,Claim Your Gift Card!,Your password will expire soon. Reset it immediately.,1
no-reply@amazon.com,Top Stories for You,Someone has endorsed your skills on LinkedIn.,0
team@slack.com,Top Stories for You,Someone has endorsed your skills on LinkedIn.,0
friend@gmail.com,Policy Update,Check out new commits and PRs in your repositories.,0
security@amaz0n.com,Verify Apple ID,Your password will expire soon. Reset it immediately.,1
service@netflix.com,Professional Network Updates,Read today's top stories curated for you.,0
it-support@company-update.com,Verify Apple ID,Your account has been locked. Click here to verify credentials.,1
no-reply@amazon.com,Subscription Update,You have received $250 from Alice.,0
updates@medium.com,Weekly Repo Updates,Check out new commits and PRs in your repositories.,0
security-alert@paypal.com,Verify Your Account,Your account will be deactivated if you do not respond.,1
reward@giftcard.com,Verify Your Account,Your account will be deactivated if you do not respond.,1
it-support@company-update.com,Verify Your Account,Your account will be deactivated if you do not respond.,1
team@slack.com,Payment Received,Someone has endorsed your skills on LinkedIn.,0
newsletter@github.com,Order Shipped,Here's the summary from today's stand-up meeting.,0
team@slack.com,Policy Update,Your order #12345 has been shipped. Track it here.,0
newsletter@github.com,Top Stories for You,Here's the summary from today's stand-up meeting.,0
no-reply@amazon.com,Professional Network Updates,Please review the updated company leave policy.,0
billing@paypal-security.com,Invoice Overdue,Please confirm your recent login to secure your account.,1
hr@company.com,Weekend Plans,"Hey, are we meeting this weekend for lunch?",0
friend@gmail.com,Policy Update,Check out new commits and PRs in your repositories.,0
security@amaz0n.com,Action Required Immediately,Unusual login detected. Verify your account now.,1
alerts@linkedin.com,Weekly Repo Updates,Read today's top stories curated for you.,0
updates@medium.com,Top Stories for You,Someone has endorsed your skills on LinkedIn.,0
newsletter@github.com,Professional Network Updates,Please review the updated company leave policy.,0
it-support@company-update.com,Unauthorized Login Attempt,Your password will expire soon. Reset it immediately.,1
receipt@paypal.com,Payment Received,"Hey, are we meeting this weekend for lunch?",0
alerts@linkedin.com,Weekend Plans,Your order #12345 has been shipped. Track it here.,0
billing@paypal-security.com,Claim Your Gift Card!,Your password will expire soon. Reset it immediately.,1
updates@medium.com,Payment Received,Check out new commits and PRs in your repositories.,0
security@amaz0n.com,Verify Apple ID,Security alert: Someone tried to access your account from a new device.,1
it-support@company-update.com,Invoice Overdue,Unusual login detected. Verify your account now.,1
reward@giftcard.com,Action Required Immediately,Your account has been locked. Click here to verify credentials.,1
no-reply@amazon.com,Weekend Plans,Please review the updated company leave policy.,0
receipt@paypal.com,Team Meeting Notes,Please review the updated company leave policy.,0
verify@facebook-alert.com,Urgent: Password Expiry,Please confirm your recent login to secure your account.,1
billing@paypal-security.com,Action Required Immediately,Your account has been locked. Click here to verify credentials.,1
login@netflix-security.com,Verify Apple ID,Your password will expire soon. Reset it immediately.,1
receipt@paypal.com,Payment Received,Someone has endorsed your skills on LinkedIn.,0
verify@facebook-alert.com,Claim Your Gift Card!,Unusual login detected. Verify your account now.,1
alerts@linkedin.com,Weekend Plans,"Hey, are we meeting this weekend for lunch?",0
no-reply@amazon.com,Order Shipped,Please review the updated company leave policy.,0
it-support@company-update.com,Verify Apple ID,Security alert: Someone tried to access your account from a new device.,1
security@amaz0n.com,Account Locked!,You've won a $100 gift card. Click to claim.,1
hr@company.com,Order Shipped,"Hey, are we meeting this weekend for lunch?",0
alerts@linkedin.com,Policy Update,Read today's top stories curated for you.,0
security@amaz0n.com,Suspicious Activity Detected,Your password will expire soon. Reset it immediately.,1
no-reply@amazon.com,Order Shipped,Your order #12345 has been shipped. Track it here.,0
admin@bank-secure.com,Suspicious Activity Detected,You've won a $100 gift card. Click to claim.,1
security-alert@paypal.com,Invoice Overdue,Your account will be deactivated if you do not respond.,1
billing@paypal-security.com,Suspicious Activity Detected,Your password will expire soon. Reset it immediately.,1
updates@medium.com,Team Meeting Notes,Read today's top stories curated for you.,0
login@netflix-security.com,Claim Your Gift Card!,Your account has been locked. Click here to verify credentials.,1
admin@bank-secure.com,Verify Your Account,Your account has been locked. Click here to verify credentials.,1
security@amaz0n.com,Verify Your Account,Security alert: Someone tried to access your account from a new device.,1
security-alert@paypal.com,Urgent: Password Expiry,Unusual login detected. Verify your account now.,1
hr@company.com,Order Shipped,Your order #12345 has been shipped. Track it here.,0
security@amaz0n.com,Verify Apple ID,Your account has been locked. Click here to verify credentials.,1
billing@paypal-security.com,Suspicious Activity Detected,We noticed unusual activity. Sign in to secure your account.,1
verify@facebook-alert.com,Account Locked!,Security alert: Someone tried to access your account from a new device.,1
security@amaz0n.com,Action Required Immediately,Security alert: Someone tried to access your account from a new device.,1
reward@giftcard.com,Unauthorized Login Attempt,Please confirm your recent login to secure your account.,1
it-support@company-update.com,Invoice Overdue,Security alert: Someone tried to access your account from a new device.,1
team@slack.com,Subscription Update,Your order #12345 has been shipped. Track it here.,0
team@slack.com,Weekend Plans,Check out new commits and PRs in your repositories.,0
updates@medium.com,Team Meeting Notes,Your order #12345 has been shipped. Track it here.,0
support@apple.com,Account Locked!,Security alert: Someone tried to access your account from a new device.,1
billing@paypal-security.com,Verify Apple ID,Security alert: Someone tried to access your account from a new device.,1
security-alert@paypal.com,Account Locked!,We noticed unusual activity. Sign in to secure your account.,1
it-support@company-update.com,Verify Your Account,Your account has been locked. Click here to verify credentials.,1
receipt@paypal.com,Weekly Repo Updates,Check out new commits and PRs in your repositories.,0
alerts@linkedin.com,Top Stories for You,Check out new commits and PRs in your repositories.,0
service@netflix.com,Subscription Update,Here's the summary from today's stand-up meeting.,0
updates@medium.com,Professional Network Updates,Your next subscription payment is due on 30th Sep.,0
security@amaz0n.com,Verify Your Account,We noticed unusual activity. Sign in to secure your account.,1
security@amaz0n.com,Invoice Overdue,You've won a $100 gift card. Click to claim.,1
admin@bank-secure.com,Unauthorized Login Attempt,Unusual login detected. Verify your account now.,1
newsletter@github.com,Order Shipped,"Hey, are we meeting this weekend for lunch?",0
newsletter@github.com,Subscription Update,You have received $250 from Alice.,0
newsletter@github.com,Order Shipped,Check out new commits and PRs in your repositories.,0
security-alert@paypal.com,Urgent: Password Expiry,Your account has been locked. Click here to verify credentials.,1
verify@facebook-alert.com,Urgent: Password Expiry,Unpaid invoice detected. Login here to pay.,1
security@amaz0n.com,Verify Apple ID,Please confirm your recent login to secure your account.,1
receipt@paypal.com,Professional Network Updates,Someone has endorsed your skills on LinkedIn.,0
security@amaz0n.com,Unauthorized Login Attempt,Security alert: Someone tried to access your account from a new device.,1
updates@medium.com,Payment Received,Please review the updated company leave policy.,0
hr@company.com,Top Stories for You,Please review the updated company leave policy.,0
reward@giftcard.com,Suspicious Activity Detected,Security alert: Someone tried to access your account from a new device.,1
newsletter@github.com,Policy Update,Your next subscription payment is due on 30th Sep.,0
no-reply@amazon.com,Top Stories for You,Someone has endorsed your skills on LinkedIn.,0
verify@facebook-alert.com,Verify Apple ID,Unpaid invoice detected. Login here to pay.,1
receipt@paypal.com,Team Meeting Notes,"Hey, are we meeting this weekend for lunch?",0
updates@medium.com,Team Meeting Notes,Read today's top stories curated for you.,0
alerts@linkedin.com,Professional Network Updates,Someone has endorsed your skills on LinkedIn.,0
alerts@linkedin.com,Professional Network Updates,Here's the summary from today's stand-up meeting.,0
team@slack.com,Subscription Update,You have received $250 from Alice.,0
security-alert@paypal.com,Verify Your Account,You've won a $100 gift card. Click to claim.,1
it-support@company-update.com,Suspicious Activity Detected,Your account will be deactivated if you do not respond.,1
billing@paypal-security.com,Suspicious Activity Detected,Unusual login detected. Verify your account now.,1
security@amaz0n.com,Account Locked!,Please confirm your recent login to secure your account.,1
alerts@linkedin.com,Top Stories for You,Someone has endorsed your skills on LinkedIn.,0
admin@bank-secure.com,Claim Your Gift Card!,Your account will be deactivated if you do not respond.,1
team@slack.com,Weekly Repo Updates,Read today's top stories curated for you.,0
newsletter@github.com,Professional Network Updates,Someone has endorsed your skills on LinkedIn.,0
login@netflix-security.com,Account Locked!,Your password will expire soon. Reset it immediately.,1
hr@company.com,Subscription Update,Please review the updated company leave policy.,0
hr@company.com,Top Stories for You,Please review the updated company leave policy.,0
alerts@linkedin.com,Professional Network Updates,Your next subscription payment is due on 30th Sep.,0
support@apple.com,Unauthorized Login Attempt,Your account will be deactivated if you do not respond.,1
service@netflix.com,Top Stories for You,Read today's top stories curated for you.,0
admin@bank-secure.com,Verify Apple ID,Unusual login detected. Verify your account now.,1
verify@facebook-alert.com,Urgent: Password Expiry,Security alert: Someone tried to access your account from a new device.,1
friend@gmail.com,Order Shipped,You have received $250 from Alice.,0
friend@gmail.com,Order Shipped,"Hey, are we meeting this weekend for lunch?",0
team@slack.com,Payment Received,Check out new commits and PRs in your repositories.,0
updates@medium.com,Top Stories for You,Your order #12345 has been shipped. Track it here.,0
receipt@paypal.com,Top Stories for You,Check out new commits and PRs in your repositories.,0
it-support@company-update.com,Urgent: Password Expiry,Please confirm your recent login to secure your account.,1
security@amaz0n.com,Unauthorized Login Attempt,Unpaid invoice detected. Login here to pay.,1
reward@giftcard.com,Verify Apple ID,Your account will be deactivated if you do not respond.,1
newsletter@github.com,Policy Update,Your next subscription payment is due on 30th Sep.,0
no-reply@amazon.com,Weekly Repo Updates,Check out new commits and PRs in your repositories.,0
team@slack.com,Weekly Repo Updates,Your next subscription payment is due on 30th Sep.,0
login@netflix-security.com,Claim Your Gift Card!,Security alert: Someone tried to access your account from a new device.,1
support@apple.com,Action Required Immediately,Your password will expire soon. Reset it immediately.,1
reward@giftcard.com,Claim Your Gift Card!,Your account has been locked. Click here to verify credentials.,1
security-alert@paypal.com,Suspicious Activity Detected,Security alert: Someone tried to access your account from a new device.,1
billing@paypal-security.com,Verify Apple ID,We noticed unusual activity. Sign in to secure your account.,1
team@slack.com,Weekly Repo Updates,Here's the summary from today's stand-up meeting.,0
hr@company.com,Team Meeting Notes,Read today's top stories curated for you.,0
friend@gmail.com,Professional Network Updates,Read today's top stories curated for you.,0
support@apple.com,Invoice Overdue,Your account will be deactivated if you do not respond.,1
billing@paypal-security.com,Action Required Immediately,Unusual login detected. Verify your account now.,1
security-alert@paypal.com,Suspicious Activity Detected,Your password will expire soon. Reset it immediately.,1
alerts@linkedin.com,Payment Received,Please review the updated company leave policy.,0
support@apple.com,Urgent: Password Expiry,Please confirm your recent login to secure your account.,1
newsletter@github.com,Payment Received,Here's the summary from today's stand-up meeting.,0
alerts@linkedin.com,Subscription Update,Here's the summary from today's stand-up meeting.,0
security-alert@paypal.com,Claim Your Gift Card!,Your account has been locked. Click here to verify credentials.,1
support@apple.com,Verify Your Account,Unusual login detected. Verify your account now.,1
it-support@company-update.com,Unauthorized Login Attempt,Security alert: Someone tried to access your account from a new device.,1
verify@facebook-alert.com,Verify Your Account,Your account will be deactivated if you do not respond.,1
security-alert@paypal.com,Claim Your Gift Card!,Security alert: Someone tried to access your account from a new device.,1
team@slack.com,Top Stories for You,You have received $250 from Alice.,0
updates@medium.com,Professional Network Updates,Someone has endorsed your skills on LinkedIn.,0
newsletter@github.com,Team Meeting Notes,Your order #12345 has been shipped. Track it here.,0
newsletter@github.com,Subscription Update,Check out new commits and PRs in your repositories.,0
friend@gmail.com,Order Shipped,"Hey, are we meeting this weekend for lunch?",0
service@netflix.com,Weekend Plans,Your order #12345 has been shipped. Track it here.,0
team@slack.com,Professional Network Updates,Please review the updated company leave policy.,0
newsletter@github.com,Weekend Plans,Someone has endorsed your skills on LinkedIn.,0
verify@facebook-alert.com,Suspicious Activity Detected,Unusual login detected. Verify your account now.,1
login@netflix-security.com,Invoice Overdue,Unusual login detected. Verify your account now.,1
support@apple.com,Unauthorized Login Attempt,We noticed unusual activity. Sign in to secure your account.,1
friend@gmail.com,Top Stories for You,Check out new commits and PRs in your repositories.,0
admin@bank-secure.com,Action Required Immediately,Your account will be deactivated if you do not respond.,1
admin@bank-secure.com,Urgent: Password Expiry,Your password will expire soon. Reset it immediately.,1
it-support@company-update.com,Urgent: Password Expiry,We noticed unusual activity. Sign in to secure your account.,1
security@amaz0n.com,Suspicious Activity Detected,We noticed unusual activity. Sign in to secure your account.,1
alerts@linkedin.com,Professional Network Updates,Here's the summary from today's stand-up meeting.,0
security@amaz0n.com,Verify Your Account,Unpaid invoice detected. Login here to pay.,1
reward@giftcard.com,Verify Apple ID,Your account will be deactivated if you do not respond.,1
billing@paypal-security.com,Claim Your Gift Card!,We noticed unusual activity. Sign in to secure your account.,1
friend@gmail.com,Weekend Plans,Someone has endorsed your skills on LinkedIn.,0
updates@medium.com,Payment Received,Here's the summary from today's stand-up meeting.,0
security@amaz0n.com,Invoice Overdue,Unusual login detected. Verify your account now.,1
hr@company.com,Professional Network Updates,Check out new commits and PRs in your repositories.,0
team@slack.com,Order Shipped,You have received $250 from Alice.,0
service@netflix.com,Weekly Repo Updates,You have received $250 from Alice.,0
