category,question,option1,option2,option3,option4,answer,difficult
Malware,What is the primary purpose of Backdoor?,Auto-logout timer,Bypasses normal authentication,Elliptic Curve Cryptography,Windows registry investigation,Bypasses normal authentication,medium
Malware,What is the primary purpose of Dropper?,Cross-origin missetup,Analyzing smartphones/tablets,Installs other malware,Manipulating people,Installs other malware,medium
Malware,What is the primary purpose of Botnet?,Restoring erased data,Network of compromised machines,Authorization framework,Displays unwanted advertisements,Network of compromised machines,medium
Malware,What is the primary purpose of Drive-by Download?,Simulated phishing attack,Automatic malware download,Documenting findings,Changes code to evade detection,Automatic malware download,medium
Malware,What is the primary purpose of Fileless Malware?,Resides in memory only,Secure Sockets Layer,Securing components,Port scanning tool,Resides in memory only,medium
Malware,What is the primary purpose of Firmware Malware?,User Datagram Protocol,Protecting stored data,Infects device firmware,Over-the-air patching,Infects device firmware,medium
Malware,What is the primary purpose of Phishing?,Documenting findings,Email-based credential theft,Role-Based Access Control,Random data added to hash inputs,Email-based credential theft,medium
Malware,What is the primary purpose of Logic Bomb?,Conditional malicious code,Secure file copy over SSH,Overwhelming a host with traffic,Uncontrolled printf formats,Conditional malicious code,medium
Malware,What is the primary purpose of Remote Access Trojan?,Reconstructing event order,Gives attacker remote control,Infects the boot sector,Protecting real-time OS,Gives attacker remote control,medium
Malware,What is the primary purpose of Wiper?,Gathering target info,Protecting data in motion,Permanently deletes data,Rules for passwords,Permanently deletes data,medium
Malware,What is the primary purpose of Polymorphic Virus?,Alters code on each infection,Gathers user data without consent,Network layer of OSI model,Synthetic media deception,Alters code on each infection,medium
Malware,What is the primary purpose of Malvertising?,Infected online ads,Extracting keys via leaks,Simple Network Management Protocol,File path manipulation,Infected online ads,medium
Malware,What is the primary purpose of Cross-Site Scripting?,Reviewing system logs,“Everyone’s doing it”),Inventing fake scenarios,Injects script into web pages,Injects script into web pages,medium
Ethical Hacking,What is the primary purpose of Footprinting?,Collecting data from running systems,Injecting SQL commands,Gathering target info,Temporary elevated rights,Gathering target info,medium
Ethical Hacking,What is the primary purpose of Scanning?,Probing targets for open ports,Bluetooth Low-Energy safety,“Everyone’s doing it”),Unvalidated redirects,Probing targets for open ports,medium
Ethical Hacking,What is the primary purpose of Enumeration?,Verbose debugging left on,Extracting user and resource info,Assessing Wi-Fi security,Authenticates message origin,Extracting user and resource info,medium
Ethical Hacking,What is the primary purpose of Vulnerability Assessment?,Urgent deadlines,Predictable random numbers,Identifying vulnerabilities,Port scanning tool,Identifying vulnerabilities,medium
Ethical Hacking,What is the primary purpose of Penetration Testing?,“Everyone’s doing it”),Exploiting found vulnerabilities,Network scanning tool,Open-source intelligence gathering,Exploiting found vulnerabilities,medium
Ethical Hacking,What is the primary purpose of Social Engineering?,Breaking or analyzing ciphers,Manipulating people,Friendly approach,Thwart brute-force attempts,Manipulating people,medium
Ethical Hacking,What is the primary purpose of Phishing Test?,Building system timelines,Ticket-based authentication,Simulated phishing attack,Auto-logout timer,Simulated phishing attack,medium
Ethical Hacking,What is the primary purpose of Password Cracking?,Brute forcing passwords,Handling cloud credentials,Top 10 IoT vulnerabilities,Message Digest 5 hash,Brute forcing passwords,medium
Ethical Hacking,What is the primary purpose of Metasploit?,Inject code via heap,Exploitation framework,Isolating IoT networks,User Datagram Protocol,Exploitation framework,medium
Ethical Hacking,What is the primary purpose of Nmap?,Inject code via heap,Unvalidated redirects,Port scanning tool,Isolating IoT networks,Port scanning tool,medium
Ethical Hacking,What is the primary purpose of SQL Injection Test?,Targeted phishing attack,Testing for script injection,Uncontrolled printf formats,Testing for DB injection,Testing for DB injection,medium
Ethical Hacking,What is the primary purpose of Buffer Overflow Test?,Testing memory boundaries,Protecting container workloads,Infected online ads,"Small, modular services",Testing memory boundaries,medium
Ethical Hacking,What is the primary purpose of Privilege Escalation?,Gaining higher rights,Protecting stored data,Posing as someone else,Division of security duties,Gaining higher rights,medium
Ethical Hacking,What is the primary purpose of Reverse Engineering?,Analyzing binaries,Securing IoT messaging protocol,Advanced Encryption Standard,Adaptive access decisions,Analyzing binaries,medium
Ethical Hacking,What is the primary purpose of Exploit Development?,Same key to encrypt/decrypt,Key exchange protocol,Coding new exploits,Exploitation framework,Coding new exploits,medium
Ethical Hacking,What is the primary purpose of XSS Testing?,Testing for script injection,Permanently deletes data,Over-the-air patching,Highly customized scenario,Testing for script injection,medium
Ethical Hacking,What is the primary purpose of Fuzzing?,Maps data to fixed length digest,SMS-based phishing,Asymmetric encryption algorithm,Random input vulnerability test,Random input vulnerability test,medium
Ethical Hacking,What is the primary purpose of Wireless Testing?,Weak out-of-box passwords,Extracting keys via leaks,X.509 certificate login,Assessing Wi-Fi security,Assessing Wi-Fi security,medium
Ethical Hacking,What is the primary purpose of Vulnerability Reporting?,Top 10 IoT vulnerabilities,Documenting findings,Network segment exposed to untrusted networks,Extracting keys via leaks,Documenting findings,medium
Ethical Hacking,What is the primary purpose of Security Audit?,Separating memory spaces,Injecting SQL commands,Comprehensive security review,X.509 certificate login,Comprehensive security review,medium
Ethical Hacking,What is the primary purpose of Policy Review?,Packet capture and analysis tool,Auto-logout timer,Evaluating security policies,Recovering files from fragments,Evaluating security policies,medium
Ethical Hacking,What is the primary purpose of Risk Assessment?,Cracking encrypted drives,Estimating impact/likelihood,Collecting data from running systems,Security Operations Center,Estimating impact/likelihood,medium
Ethical Hacking,What is the primary purpose of Mitigation Strategies?,Reducing identified risks,Predictable random numbers,Alters code on each infection,Searching trash for data,Reducing identified risks,medium
Ethical Hacking,What does OSINT stand for?,Open-source intelligence gathering,Extracting keys via leaks,Security Assertion Markup Lang,Bluetooth Low-Energy safety,Open-source intelligence gathering,medium
Ethical Hacking,What is the primary purpose of WAR Driving?,Changes code to evade detection,Mapping Wi-Fi networks,Random input vulnerability test,Uncontrolled printf formats,Mapping Wi-Fi networks,medium
Digital Forensics,What is the primary purpose of Chain of Custody?,Documenting evidence handling,File path manipulation,Inspecting file metadata,Fingerprint or retina scan,Documenting evidence handling,medium
Digital Forensics,What is the primary purpose of Disk Imaging?,Faking sensor data,Over-the-air patching,Creating bit-for-bit copies,Malware disguised as legitimate software,Creating bit-for-bit copies,medium
Digital Forensics,What is the primary purpose of Write Blocker?,Authorization framework,Mapping Wi-Fi networks,Random data added to hash inputs,Prevents disk modifications,Prevents disk modifications,medium
Digital Forensics,What is the primary purpose of File Carving?,Recovering files from fragments,Virtual firewall rules,“Everyone’s doing it”),Secure shell for remote login,Recovering files from fragments,medium
Digital Forensics,What is the primary purpose of Timeline Analysis?,Network of compromised machines,Exploiting mental shortcuts,Reconstructing event order,HTTP header tampering,Reconstructing event order,medium
Digital Forensics,What is the primary purpose of Memory Forensics?,Analyzing RAM contents,Changes code to evade detection,Simulated phishing attack,Extracting user and resource info,Analyzing RAM contents,medium
Digital Forensics,What is the primary purpose of Live Acquisition?,Collecting data from running systems,Triggers malicious action on condition,Cloud network segment,Verifying data integrity,Collecting data from running systems,medium
Digital Forensics,What is the primary purpose of Hash Analysis?,Verifying data integrity,Assessing Wi-Fi security,Voice-based phishing,Stolen server config,Verifying data integrity,medium
Digital Forensics,What is the primary purpose of Artifact Extraction?,Pulling useful data snippets,Exploitation framework,Restoring erased data,User Datagram Protocol,Pulling useful data snippets,medium
Digital Forensics,What is the primary purpose of Metadata Analysis?,Intrusion Detection System,Infrastructure as a Service,Number used once in crypto,Inspecting file metadata,Inspecting file metadata,medium
Digital Forensics,What is the primary purpose of Log Analysis?,Digitally signing firmware,Temporary elevated rights,Reviewing system logs,Inject code via heap,Reviewing system logs,medium
Digital Forensics,What is the primary purpose of Email Header Analysis?,Dissecting malware code,Assessing Wi-Fi security,Tracing email origins,Unreleased memory,Tracing email origins,medium
Digital Forensics,What is the primary purpose of Registry Analysis?,Maps data to fixed length digest,Windows registry investigation,"Small, modular services",Port scanning tool,Windows registry investigation,medium
Digital Forensics,What is the primary purpose of Network Forensics?,Records keystrokes,Capturing network traffic,Infects the boot sector,Probing targets for open ports,Capturing network traffic,medium
Digital Forensics,What is the primary purpose of Cloud Forensics?,Investigating cloud artifacts,Identifying vulnerabilities,Targeted phishing attack,Brute forcing passwords,Investigating cloud artifacts,medium
Digital Forensics,What is the primary purpose of Mobile Forensics?,Over-the-air patching,Authenticates message origin,Analyzing smartphones/tablets,Investigating file slack,Analyzing smartphones/tablets,medium
Digital Forensics,What is the primary purpose of IoT Forensics?,Temporary elevated rights,Investigating smart device data,Minimal permission principle,Impersonating authority,Investigating smart device data,medium
Digital Forensics,What is the primary purpose of Malware Forensics?,Dissecting malware code,Translates private IPs to public IPs,Investigating cloud artifacts,Spreads via document macros,Dissecting malware code,medium
Digital Forensics,What is the primary purpose of Timeline Reconstruction?,Segregation of Duties,Security Assertion Markup Lang,Building system timelines,Bluetooth Low-Energy safety,Building system timelines,medium
Digital Forensics,What is the primary purpose of Drive Encryption Analysis?,Transport Layer Security,Cracking encrypted drives,Exploitation framework,Secure shell for remote login,Cracking encrypted drives,medium
Digital Forensics,What is the primary purpose of Deleted File Recovery?,Digitally signing firmware,Testing for DB injection,Restoring erased data,Random input vulnerability test,Restoring erased data,medium
Digital Forensics,What is the primary purpose of Slack Space Analysis?,Inject code via heap,Investigating file slack,Securing Zigbee traffic,Access Control List,Investigating file slack,medium
Digital Forensics,What is the primary purpose of File Signature Analysis?,Secure Hash Algorithm 256-bit,Matching file headers,Secure file copy over SSH,Platform as a Service,Matching file headers,medium
Digital Forensics,What is the primary purpose of RAM Dumping?,Predictable random numbers,Capturing memory image,Issues digital certificates,Weak out-of-box passwords,Capturing memory image,medium
Digital Forensics,What is the primary purpose of Registry Hives?,Exploitation framework,Hex-level registry files,Asymmetric encryption algorithm,Following authorized users,Hex-level registry files,medium
Social Engineering,What is the primary purpose of Phishing?,Email-based data theft,Encrypts fixed–size data blocks,Capturing network traffic,Exploiting mental shortcuts,Email-based data theft,medium
Social Engineering,What is the primary purpose of Pretexting?,Inventing fake scenarios,Gives attacker remote control,Exceeds integer limits,Investigating cloud artifacts,Inventing fake scenarios,medium
Social Engineering,What is the primary purpose of Baiting?,Reviewing system logs,Gaining higher rights,Resolves domain names to IPs,Offering false incentives,Offering false incentives,medium
Social Engineering,What is the primary purpose of Tailgating?,Injects script into web pages,Following authorized users,Infected online ads,Rivest–Shamir–Adleman algorithm,Following authorized users,medium
Social Engineering,What is the primary purpose of Quid Pro Quo?,Triggers malicious action on condition,Offering service for info,Validating firmware integrity,Patching device software,Offering service for info,medium
Social Engineering,What is the primary purpose of Spear Phishing?,Assigns dynamic IP addresses,Targeted phishing attack,Urgent deadlines,Impersonating authority,Targeted phishing attack,medium
Social Engineering,What is the primary purpose of Vishing?,Voice-based phishing,Division of security duties,Exceeds integer limits,Securing Zigbee traffic,Voice-based phishing,medium
Social Engineering,What is the primary purpose of Smishing?,Giving to get,Unbreakable when used correctly,Manipulating people,SMS-based phishing,SMS-based phishing,medium
Social Engineering,What is the primary purpose of Impersonation?,Inventing fake scenarios,Impersonating authority,Posing as someone else,Injects script into web pages,Posing as someone else,medium
Social Engineering,What is the primary purpose of Dumpster Diving?,Location-based control,Auth token for sessions,Matching file headers,Searching trash for data,Searching trash for data,medium
Social Engineering,What is the primary purpose of Shoulder Surfing?,Using relationships,Observing keystrokes,Infected online ads,Segregation of Duties,Observing keystrokes,medium
Social Engineering,What is the primary purpose of Scareware?,Urgent deadlines,Top 10 IoT vulnerabilities,Weak out-of-box passwords,Fake threat pop-ups,Fake threat pop-ups,medium
Social Engineering,What is the primary purpose of Watering Hole?,Compromising frequented sites,Permanently deletes data,Cracking encrypted drives,Testing for DB injection,Compromising frequented sites,medium
Social Engineering,What is the primary purpose of Deepfake?,Infects the boot sector,Identifying abnormal behavior,Synthetic media deception,Translates private IPs to public IPs,Synthetic media deception,medium
Social Engineering,What is the primary purpose of Trust Exploitation?,Uncontrolled printf formats,Simulated phishing attack,Negotiates encryption parameters,Using relationships,Using relationships,medium
Social Engineering,What is the primary purpose of Reciprocity Principle?,Analyzing binaries,Locking server certs,Unvalidated redirects,Giving to get,Giving to get,medium
Social Engineering,What is the primary purpose of Authority Principle?,Rules for passwords,Translates private IPs to public IPs,Resides in memory only,Impersonating authority,Impersonating authority,medium
Social Engineering,What is the primary purpose of Scarcity Principle?,Urgent deadlines,Cloud network segment,Dividing network into zones,Cross-origin missetup,Urgent deadlines,medium
Social Engineering,What is the primary purpose of Consensus Principle?,Authenticates message origin,“Everyone’s doing it”),Digitally signing firmware,Access Control List for filtering,“Everyone’s doing it”),medium
Social Engineering,What is the primary purpose of Liking Principle?,Secure Hash Algorithm 256-bit,Collecting data from running systems,Friendly approach,Evaluating security policies,Friendly approach,medium
Social Engineering,What is the primary purpose of Cognitive Bias?,Auto-logout timer,Exploiting mental shortcuts,Resolves domain names to IPs,Privileged Access Management,Exploiting mental shortcuts,medium
Social Engineering,What is the primary purpose of Inoculation Theory?,Resolves domain names to IPs,Single Sign-On,"Never trust, always verify",Pre-warning defenses,Pre-warning defenses,medium
Social Engineering,What is the primary purpose of Emotional Manipulation?,Segregation of Duties,Triggering feelings,Displays unwanted advertisements,Untrusted object replay,Triggering feelings,medium
Social Engineering,What is the primary purpose of Social Media Profiling?,Assessing Wi-Fi security,Adaptive access decisions,Mining public profiles,Pre-warning defenses,Mining public profiles,medium
Social Engineering,What is the primary purpose of Tailored Pretext?,Packet capture and analysis tool,Documenting findings,Highly customized scenario,Exploiting found vulnerabilities,Highly customized scenario,medium
Cloud Security,What is the primary purpose of IaaS?,Negotiates encryption parameters,Infrastructure as a Service,Injects script into web pages,Same key to encrypt/decrypt,Infrastructure as a Service,medium
Cloud Security,What is the primary purpose of PaaS?,Inventing fake scenarios,Injecting SQL commands,Thwart brute-force attempts,Platform as a Service,Platform as a Service,medium
Cloud Security,What is the primary purpose of SaaS?,Software as a Service,Asymmetric encryption algorithm,Secure Hash Algorithm 256-bit,Untrusted object replay,Software as a Service,medium
Cloud Security,What does CASB stand for?,Auth token for sessions,Hex-level registry files,Cloud Access Security Broker,Isolating IoT networks,Cloud Access Security Broker,medium
Cloud Security,What does SSO stand for?,Discretionary Access Control,Secure shell for remote login,Standalone self-replicating malware,Single Sign-On,Single Sign-On,medium
Cloud Security,What does IAM stand for?,Security Assertion Markup Lang,Creating bit-for-bit copies,Authorization framework,Identity and Access Management,Identity and Access Management,medium
Cloud Security,What is the primary purpose of Encryption at Rest?,Protecting stored data,Documenting findings,Protecting edge devices,Unchanged credentials,Protecting stored data,medium
Cloud Security,What is the primary purpose of Encryption in Transit?,Records keystrokes,Mandatory Access Control,Protecting data in motion,Bluetooth Low-Energy safety,Protecting data in motion,medium
Cloud Security,What is the primary purpose of API Security?,Securing cloud APIs,Gathers user data without consent,Protecting data in motion,Encrypts data bit-by-bit,Securing cloud APIs,medium
Cloud Security,What is the primary purpose of Container Security?,Hex-level registry files,Analyzing smartphones/tablets,Protecting container workloads,Secure Hash Algorithm 256-bit,Protecting container workloads,medium
Cloud Security,What is the primary purpose of Microservices?,Investigating file slack,Recovering files from fragments,"Small, modular services",Protecting stored data,"Small, modular services",medium
Cloud Security,What is the primary purpose of Shared Responsibility?,Tracing email origins,Compromising frequented sites,Division of security duties,X.509 certificate login,Division of security duties,medium
Cloud Security,What does SOC stand for?,Estimating impact/likelihood,Security Operations Center,Security Assertion Markup Lang,Negotiates encryption parameters,Security Operations Center,medium
Cloud Security,What is the primary purpose of Compliance?,Infects device firmware,Windows registry investigation,Meeting security standards,Reviewing system logs,Meeting security standards,medium
Cloud Security,What does DLP stand for?,Data Loss Prevention,Packet capture and analysis tool,Encrypts fixed–size data blocks,Server-Side Request Forgery,Data Loss Prevention,medium
Cloud Security,What does MFA stand for?,Bypasses normal authentication,Multi-Factor Authentication,Unvalidated redirects,Pulling useful data snippets,Multi-Factor Authentication,medium
Cloud Security,What does KMS stand for?,Key Management Service,Hides malicious activities,Access Control List for filtering,Cross-Site Scripting,Key Management Service,medium
Cloud Security,What is the primary purpose of Tenant Isolation?,Mining public profiles,Encrypts files for ransom,Separating customer data,Pre-warning defenses,Separating customer data,medium
Cloud Security,What is the primary purpose of Virtual Network?,Impersonating authority,Injecting SQL commands,Highly customized scenario,Cloud network segment,Cloud network segment,medium
Cloud Security,What is the primary purpose of Security Group?,Evaluating security policies,Virtual firewall rules,Testing for script injection,Negotiates encryption parameters,Virtual firewall rules,medium
Cloud Security,What does WAF stand for?,Web Application Firewall,Testing for DB injection,Self-replicating code attaching to programs,Key Management Service,Web Application Firewall,medium
Cloud Security,What is the primary purpose of Cloud Audit?,Unreleased memory,Reviewing cloud logs,Separating customer data,Displays unwanted advertisements,Reviewing cloud logs,medium
Cloud Security,What is the primary purpose of Credential Management?,Gathering target info,Urgent deadlines,Protecting data in motion,Handling cloud credentials,Handling cloud credentials,medium
Cloud Security,What is the primary purpose of Secret Rotation?,Extracting user and resource info,Infrastructure as a Service,Regular key turnover,Displays unwanted advertisements,Regular key turnover,medium
Cloud Security,What is the primary purpose of Zero Trust?,Security Assertion Markup Lang,"Never trust, always verify",Spreads via document macros,Identity and Access Management,"Never trust, always verify",medium
IoT Security,What is the primary purpose of Device Authentication?,Rules for passwords,Verifying device identity,Hides malicious activities,Investigating smart device data,Verifying device identity,medium
IoT Security,What is the primary purpose of Firmware Updates?,Role-Based Access Control,Access Control List,Cloud network segment,Patching device software,Patching device software,medium
IoT Security,What is the primary purpose of Secure Boot?,Building system timelines,Authenticates message origin,Validating firmware integrity,Hides malicious activities,Validating firmware integrity,medium
IoT Security,What is the primary purpose of Network Segmentation?,Isolating IoT networks,Timing-based flaw,Multi-Factor Authentication,Bluetooth Low-Energy safety,Isolating IoT networks,medium
IoT Security,What is the primary purpose of Edge Security?,Protecting edge devices,Assigns dynamic IP addresses,Windows policy management,Records keystrokes,Protecting edge devices,medium
IoT Security,What is the primary purpose of Default Credentials?,Weak out-of-box passwords,Observing keystrokes,Offering service for info,Single Sign-On,Weak out-of-box passwords,medium
IoT Security,What is the primary purpose of MQTT Security?,Rules for passwords,Auth token for sessions,Securing IoT messaging protocol,Verifying device identity,Securing IoT messaging protocol,medium
IoT Security,What is the primary purpose of CoAP Security?,Unbreakable when used correctly,Certificate Revocation List,Constrained Application Protocol,"Never trust, always verify",Constrained Application Protocol,medium
IoT Security,What is the primary purpose of Zigbee Encryption?,Securing Zigbee traffic,Probing targets for open ports,Separating customer data,Inventing fake scenarios,Securing Zigbee traffic,medium
